human,cause,country,birthdate,deathdate,gender_label,religion,occupation
Ulysses S. Grant,natural causes,United States of America,1822-04-27T00:00:00Z,1885-07-23T00:00:00Z,male,Presbyterianism,statesperson
Zhang Xueliang,natural causes,Taiwan,1901-06-03T00:00:00Z,2001-10-15T00:00:00Z,male,Methodism,statesperson
Jawaharlal Nehru,natural causes,India,1889-11-14T00:00:00Z,1964-05-27T00:00:00Z,male,Hinduism,statesperson
James K. Polk,natural causes,United States of America,1795-11-02T00:00:00Z,1849-06-15T00:00:00Z,male,Methodism,statesperson
Alī ibn Abī Ṭālib,homicide,Rashidun Caliphates,0601-09-18T00:00:00Z,0661-01-28T00:00:00Z,male,Islam,statesperson
Saud al-Kabeer,natural causes,Saudi Arabia,1748-01-01T00:00:00Z,1814-01-01T00:00:00Z,male,Islam,statesperson
Napoleon,natural causes,France,1769-08-15T00:00:00Z,1821-05-05T00:00:00Z,male,Catholicism,statesperson
James Buchanan,natural causes,United States of America,1791-04-23T00:00:00Z,1868-06-01T00:00:00Z,male,Presbyterianism,statesperson
John Quincy Adams,natural causes,United States of America,1767-07-11T00:00:00Z,1848-02-23T00:00:00Z,male,Unitarianism,statesperson
Franklin Delano Roosevelt,natural causes,United States of America,1882-01-30T00:00:00Z,1945-04-12T00:00:00Z,male,Episcopal Church,statesperson
Ronald Reagan,natural causes,United States of America,1911-02-06T00:00:00Z,2004-06-05T00:00:00Z,male,Restorationism,statesperson
Hisham ibn Abd al-Malik,natural causes,Umayyad dynasty,0691-01-01T00:00:00Z,0743-02-10T00:00:00Z,male,Sunni Islam,statesperson
John Adams,natural causes,United States of America,1735-10-30T00:00:00Z,1826-07-04T00:00:00Z,male,Congregationalist polity,statesperson
William Henry Harrison,natural causes,United States of America,1773-02-09T00:00:00Z,1841-04-04T00:00:00Z,male,Episcopal Church,statesperson
Hasan ibn Ali,homicide,Umayyad Caliphate,0624-03-01T00:00:00Z,0669-01-01T00:00:00Z,male,Islam,statesperson
Todor Zhivkov,natural causes,Bulgaria,1911-09-07T00:00:00Z,1998-08-05T00:00:00Z,male,atheism,statesperson
Aleksandr Myasnikyan,accident,Soviet Union,1886-02-09T00:00:00Z,1925-03-22T00:00:00Z,male,atheism,statesperson
Jawaharlal Nehru,natural causes,Dominion of India,1889-11-14T00:00:00Z,1964-05-27T00:00:00Z,male,Hinduism,statesperson
Charles de Gaulle,natural causes,France,1890-11-22T00:00:00Z,1970-11-09T00:00:00Z,male,Catholic Church,statesperson
Mansour bin Abdulaziz Al Saud,accident,Saudi Arabia,1921-11-01T00:00:00Z,1951-05-02T00:00:00Z,male,Islam,statesperson
Vyacheslav Molotov,natural causes,Russian Empire,1890-03-09T00:00:00Z,1986-11-08T00:00:00Z,male,atheism,statesperson
Abraham Lincoln,homicide,United States of America,1809-02-12T00:00:00Z,1865-04-15T00:00:00Z,male,Ietsism,statesperson
Islam Karimov,natural causes,Uzbekistan,1938-01-30T00:00:00Z,2016-09-02T00:00:00Z,male,Sunni Islam,statesperson
John Adams,natural causes,United States of America,1735-10-30T00:00:00Z,1826-07-04T00:00:00Z,male,congregational church,statesperson
Herbert Hoover,natural causes,United States of America,1874-08-10T00:00:00Z,1964-10-20T00:00:00Z,male,Religious Society of Friends,statesperson
Martin Van Buren,natural causes,United States of America,1782-12-05T00:00:00Z,1862-07-24T00:00:00Z,male,continental reformed church,statesperson
William McKinley,homicide,United States of America,1843-01-29T00:00:00Z,1901-09-14T00:00:00Z,male,Methodism,statesperson
Ronald Reagan,natural causes,United States of America,1911-02-06T00:00:00Z,2004-06-05T00:00:00Z,male,Presbyterianism,statesperson
Ronald Reagan,natural causes,United States of America,1911-02-06T00:00:00Z,2004-06-05T00:00:00Z,male,Christian Church (Disciples of Christ),statesperson
Nikita Khrushchev,natural causes,Russian Socialist Federative Soviet Republic,1894-04-15T00:00:00Z,1971-09-11T00:00:00Z,male,atheism,statesperson
Benjamin Harrison,natural causes,United States of America,1833-08-20T00:00:00Z,1901-03-13T00:00:00Z,male,Presbyterianism,statesperson
George H. W. Bush,natural causes,United States of America,1924-06-12T00:00:00Z,2018-11-30T00:00:00Z,male,Episcopal Church,statesperson
Roger Sherman,natural causes,United States of America,1721-04-19T00:00:00Z,1793-07-23T00:00:00Z,male,congregational church,statesperson
Lyndon B. Johnson,natural causes,United States of America,1908-08-27T00:00:00Z,1973-01-22T00:00:00Z,male,Restorationism,statesperson
George Washington,natural causes,Great Britain,1732-02-22T00:00:00Z,1799-12-14T00:00:00Z,male,Episcopal Church,statesperson
Xavier de Mérode,natural causes,Belgium,1820-03-26T00:00:00Z,1874-07-12T00:00:00Z,male,Catholic Church,statesperson
Trajan,natural causes,Ancient Rome,0053-09-16T00:00:00Z,0117-08-07T00:00:00Z,male,religion in ancient Rome,statesperson
Islam Karimov,natural causes,Soviet Union,1938-01-30T00:00:00Z,2016-09-02T00:00:00Z,male,Sunni Islam,statesperson
Hasan ibn Ali,homicide,Rashidun Caliphates,0624-03-01T00:00:00Z,0669-01-01T00:00:00Z,male,Islam,statesperson
Calvin Coolidge,natural causes,United States of America,1872-07-04T00:00:00Z,1933-01-05T00:00:00Z,male,congregational church,statesperson
Dwight D. Eisenhower,natural causes,United States of America,1890-10-14T00:00:00Z,1969-03-28T00:00:00Z,male,Jehovah's Witnesses,statesperson
Zhang Xueliang,natural causes,Republic of China (1912–1949),1901-06-03T00:00:00Z,2001-10-15T00:00:00Z,male,Methodism,statesperson
Mustafa Kemal Atatürk,natural causes,Ottoman Empire,1881-01-01T00:00:00Z,1938-11-10T00:00:00Z,male,atheist,statesperson
John F. Kennedy,homicide,United States of America,1917-05-29T00:00:00Z,1963-11-22T00:00:00Z,male,Catholicism,statesperson
Hasan ibn Ali,homicide,Umayyad Caliphate,0625-03-04T00:00:00Z,0669-01-01T00:00:00Z,male,Islam,statesperson
Mustafa Kemal Atatürk,natural causes,Turkey,1881-01-01T00:00:00Z,1938-11-10T00:00:00Z,male,atheist,statesperson
Theodore Roosevelt,natural causes,United States of America,1858-10-27T00:00:00Z,1919-01-06T00:00:00Z,male,continental reformed church,statesperson
Todor Zhivkov,natural causes,People's Republic of Bulgaria,1911-09-07T00:00:00Z,1998-08-05T00:00:00Z,male,atheism,statesperson
Andrew Johnson,natural causes,United States of America,1808-12-29T00:00:00Z,1875-07-31T00:00:00Z,male,Christianity,statesperson
John McCain,natural causes,United States of America,1936-08-29T00:00:00Z,2018-08-25T00:00:00Z,male,Southern Baptist Convention,statesperson
Franklin Pierce,natural causes,United States of America,1804-11-23T00:00:00Z,1869-10-08T00:00:00Z,male,Episcopal Church,statesperson
David Rockefeller,natural causes,United States of America,1915-06-12T00:00:00Z,2017-03-20T00:00:00Z,male,Protestantism,statesperson
Aleksandr Myasnikyan,accident,Russian Empire,1886-02-09T00:00:00Z,1925-03-22T00:00:00Z,male,atheism,statesperson
Dwight D. Eisenhower,natural causes,United States of America,1890-10-14T00:00:00Z,1969-03-28T00:00:00Z,male,Presbyterianism,statesperson
Nikita Khrushchev,natural causes,Soviet Union,1894-04-15T00:00:00Z,1971-09-11T00:00:00Z,male,atheism,statesperson
Napoleon,natural causes,France,1769-08-15T00:00:00Z,1821-05-05T00:00:00Z,male,deism,statesperson
Lee Kuan Yew,natural causes,Singapore,1923-09-16T00:00:00Z,2015-03-23T00:00:00Z,male,agnosticism,statesperson
Umar ibn Al-Khattāb,homicide,Rashidun Caliphates,0585-01-01T00:00:00Z,0644-11-06T00:00:00Z,male,Islam,statesperson
Jawaharlal Nehru,natural causes,British India,1889-11-14T00:00:00Z,1964-05-27T00:00:00Z,male,Hinduism,statesperson
Midhat Pasha,homicide,Ottoman Empire,1822-10-18T00:00:00Z,1883-04-26T00:00:00Z,male,Islam,statesperson
Zachary Taylor,natural causes,United States of America,1784-11-24T00:00:00Z,1850-07-09T00:00:00Z,male,Episcopal Church,statesperson
John Tyler,natural causes,United States of America,1790-03-29T00:00:00Z,1862-01-18T00:00:00Z,male,Episcopal Church,statesperson
Thomas Jefferson,natural causes,United States of America,1743-04-13T00:00:00Z,1826-07-04T00:00:00Z,male,deism,statesperson
Lyndon B. Johnson,natural causes,United States of America,1908-08-27T00:00:00Z,1973-01-22T00:00:00Z,male,Christian Church (Disciples of Christ),statesperson
Margaret Thatcher,natural causes,United Kingdom,1925-10-13T00:00:00Z,2013-04-08T00:00:00Z,female,Methodism,statesperson
Jacques Chirac,natural causes,France,1932-11-29T00:00:00Z,2019-09-26T00:00:00Z,male,Catholicism,statesperson
John Adams,natural causes,Great Britain,1735-10-30T00:00:00Z,1826-07-04T00:00:00Z,male,Unitarianism,statesperson
Ulysses S. Grant,natural causes,United States of America,1822-04-27T00:00:00Z,1885-07-23T00:00:00Z,male,Methodism,statesperson
Andrew Jackson,natural causes,United States of America,1767-03-15T00:00:00Z,1845-06-08T00:00:00Z,male,Presbyterianism,statesperson
James Madison,natural causes,United States of America,1751-03-16T00:00:00Z,1836-06-28T00:00:00Z,male,Episcopal Church,statesperson
Hasan ibn Ali,homicide,Rashidun Caliphates,0625-03-04T00:00:00Z,0669-01-01T00:00:00Z,male,Islam,statesperson
James A. Garfield,homicide,United States of America,1831-11-19T00:00:00Z,1881-09-19T00:00:00Z,male,Christian Church (Disciples of Christ),statesperson
Chester A. Arthur,natural causes,United States of America,1829-10-05T00:00:00Z,1886-11-18T00:00:00Z,male,Episcopal Church,statesperson
Richard Nixon,natural causes,United States of America,1913-01-09T00:00:00Z,1994-04-22T00:00:00Z,male,Religious Society of Friends,statesperson
Alī ibn Abī Ṭālib,homicide,Rashidun Caliphates,0601-09-18T00:00:00Z,0661-02-01T00:00:00Z,male,Islam,statesperson
Ibn Saud,natural causes,Saudi Arabia,1876-01-15T00:00:00Z,1953-11-09T00:00:00Z,male,Islam,statesperson
Margaret Thatcher,natural causes,United Kingdom,1925-10-13T00:00:00Z,2013-04-08T00:00:00Z,female,Anglicanism,statesperson
Theodore Roosevelt,natural causes,United States of America,1858-10-27T00:00:00Z,1919-01-06T00:00:00Z,male,Anglicanism,statesperson
Todor Zhivkov,natural causes,Kingdom of Bulgaria,1911-09-07T00:00:00Z,1998-08-05T00:00:00Z,male,atheism,statesperson
Sergei Witte,natural causes,Russian Empire,1849-06-29T00:00:00Z,1915-03-13T00:00:00Z,male,Russian Orthodox Church,statesperson
George Washington,natural causes,United States of America,1732-02-22T00:00:00Z,1799-12-14T00:00:00Z,male,Episcopal Church,statesperson
Fathi Ahmed Safi,natural causes,United Arab Republic,1954-01-01T00:00:00Z,2019-05-02T00:00:00Z,male,Islam,preacher
Paul Schäfer,natural causes,Argentina,1921-12-04T00:00:00Z,2010-04-24T00:00:00Z,male,Lutheranism,preacher
Abd al-Rahman Abd al-Khaliq,natural causes,Kuwait,1939-11-05T00:00:00Z,2020-09-29T00:00:00Z,male,Islam,preacher
David Ford,natural causes,United States of America,1960-01-01T00:00:00Z,2020-04-21T00:00:00Z,male,Baptists,preacher
Rachid Haddach,natural causes,Morocco,1970-08-11T00:00:00Z,2020-02-02T00:00:00Z,male,Islam,preacher
Charles Spurgeon,natural causes,United Kingdom of Great Britain and Ireland,1834-06-19T00:00:00Z,1892-01-31T00:00:00Z,male,Baptists,preacher
Martin Luther King Jr.,homicide,United States of America,1929-01-15T00:00:00Z,1968-04-04T00:00:00Z,male,Reformed Baptists,preacher
Sam Kinison,accident,United States of America,1953-12-08T00:00:00Z,1992-04-10T00:00:00Z,male,Pentecostalism,preacher
Juan Martinez,natural causes,United States of America,1960-04-01T00:00:00Z,2020-04-27T00:00:00Z,male,Protestantism,surgical technologist
Mostafa Khorramdel,natural causes,Imperial State of Iran,1936-01-01T00:00:00Z,2020-05-24T00:00:00Z,male,Islam,preacher
Fathi Ahmed Safi,natural causes,Second Syrian Republic,1954-01-01T00:00:00Z,2019-05-02T00:00:00Z,male,Islam,preacher
Konstantinas Sirvydas,natural causes,Grand Duchy of Lithuania,1579-01-01T00:00:00Z,1631-08-08T00:00:00Z,male,Catholic Church,preacher
Paul Schäfer,natural causes,Nazi Germany,1921-12-04T00:00:00Z,2010-04-24T00:00:00Z,male,Lutheranism,preacher
D. James Kennedy,natural causes,United States of America,1930-11-03T00:00:00Z,2007-09-05T00:00:00Z,male,Presbyterianism,preacher
Konstantinas Sirvydas,natural causes,Polish–Lithuanian Commonwealth,1579-01-01T00:00:00Z,1631-08-08T00:00:00Z,male,Catholicism,preacher
Abdurrahman Ba'abad,accident,Yemen,1973-03-13T00:00:00Z,2018-09-21T00:00:00Z,male,Islam,preacher
Ja'afar Mahmud Adam,homicide,Nigeria,1960-02-12T00:00:00Z,2007-04-13T00:00:00Z,male,Sunni Islam,preacher
David Wilkerson,accident,United States of America,1931-05-19T00:00:00Z,2011-04-27T00:00:00Z,male,Pentecostalism,preacher
Fadi Mohammad al-Batsh,homicide,State of Palestine,1983-01-01T00:00:00Z,2018-04-21T00:00:00Z,male,Islam,preacher
Paul Schäfer,natural causes,Chile,1921-12-04T00:00:00Z,2010-04-24T00:00:00Z,male,Lutheranism,preacher
Sylvester II,natural causes,Papal States,0938-01-01T00:00:00Z,1003-05-18T00:00:00Z,male,Catholic Church,scholaster
Rachid Haddach,natural causes,Belgium,1970-08-11T00:00:00Z,2020-02-02T00:00:00Z,male,Islam,preacher
Nissho Inoue,natural causes,Japan,1886-04-12T00:00:00Z,1967-04-02T00:00:00Z,male,Buddhism,preacher
Nissho Inoue,natural causes,Japan,1887-04-12T00:00:00Z,1967-04-02T00:00:00Z,male,Buddhism,preacher
Fathi Ahmed Safi,natural causes,Syria,1954-01-01T00:00:00Z,2019-05-02T00:00:00Z,male,Islam,preacher
Jerry Falwell,natural causes,United States of America,1933-08-11T00:00:00Z,2007-05-15T00:00:00Z,male,Baptists,preacher
Paul Schäfer,natural causes,Germany,1921-12-04T00:00:00Z,2010-04-24T00:00:00Z,male,Lutheranism,preacher
,suicide,Russian Empire,t2009091435,1744-12-18T00:00:00Z,male,Old Believers,preacher
Paul Schäfer,natural causes,Weimar Republic,1921-12-04T00:00:00Z,2010-04-24T00:00:00Z,male,Lutheranism,preacher
Mostafa Khorramdel,natural causes,Iran,1936-01-01T00:00:00Z,2020-05-24T00:00:00Z,male,Islam,preacher
Konstantinas Sirvydas,natural causes,Polish–Lithuanian Commonwealth,1579-01-01T00:00:00Z,1631-08-08T00:00:00Z,male,Catholic Church,preacher
Konstantinas Sirvydas,natural causes,Grand Duchy of Lithuania,1579-01-01T00:00:00Z,1631-08-08T00:00:00Z,male,Catholicism,preacher
Helen Demetoglous,natural causes,United States of America,1923-07-03T00:00:00Z,2020-04-24T00:00:00Z,female,Greek Orthodox Church,surgical technologist
Lester Roloff,accident,United States of America,1914-06-28T00:00:00Z,1982-11-02T00:00:00Z,male,Baptists,preacher
Nissho Inoue,natural causes,Japan,1886-04-12T00:00:00Z,1967-03-04T00:00:00Z,male,Buddhism,preacher
John Goodwin,natural causes,United Kingdom,1594-01-01T00:00:00Z,1665-01-01T00:00:00Z,male,Arminianism,preacher
Nissho Inoue,natural causes,Japan,1887-04-12T00:00:00Z,1967-03-04T00:00:00Z,male,Buddhism,preacher
Ilya Mechnikov,natural causes,Russian Empire,1845-05-15T00:00:00Z,1916-07-15T00:00:00Z,male,atheism,physiologist
John Foster Dulles,natural causes,United States of America,1888-02-25T00:00:00Z,1959-05-24T00:00:00Z,male,Presbyterianism,trustee
Karl Landsteiner,natural causes,United States of America,1868-06-14T00:00:00Z,1943-06-26T00:00:00Z,male,Catholic Church,physiologist
J.B.S. Haldane,natural causes,United Kingdom,1892-11-05T00:00:00Z,1964-12-01T00:00:00Z,male,atheism,physiologist
J.B.S. Haldane,natural causes,India,1892-11-05T00:00:00Z,1964-12-01T00:00:00Z,male,atheism,physiologist
Leonardo da Vinci,natural causes,Republic of Florence,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,male,atheism,physiologist
Ilya Mechnikov,natural causes,France,1845-05-15T00:00:00Z,1916-07-15T00:00:00Z,male,atheism,physiologist
Adolf Beck,suicide,Austria-Hungary,1863-01-01T00:00:00Z,1942-01-01T00:00:00Z,male,Judaism,physiologist
Thomas Hunt Morgan,natural causes,United States of America,1866-09-25T00:00:00Z,1945-12-04T00:00:00Z,male,atheism,physiologist
Adolf Beck,suicide,Second Polish Republic,1863-01-01T00:00:00Z,1942-01-01T00:00:00Z,male,Judaism,physiologist
Karl Landsteiner,natural causes,Austria-Hungary,1868-06-14T00:00:00Z,1943-06-26T00:00:00Z,male,Catholic Church,physiologist
Erich Honecker,natural causes,Saar,1912-08-25T00:00:00Z,1994-05-29T00:00:00Z,male,atheism,resistance fighter
Friedrich Paulus,natural causes,German Democratic Republic,1890-09-23T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Policarpo Paz García,natural causes,Honduras,1932-12-07T00:00:00Z,2000-04-16T00:00:00Z,male,Catholicism,military leader
Johan Huizinga,natural causes,Kingdom of the Netherlands,1872-01-01T00:00:00Z,1945-02-01T00:00:00Z,male,Mennonite Church in the Netherlands,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sufism,military leader
Erwin Rommel,suicide,Weimar Republic,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Lutheranism,resistance fighter
Friedrich Paulus,natural causes,Weimar Republic,1890-09-21T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sufism,resistance fighter
Karl Leisner,natural causes,Germany,1915-02-28T00:00:00Z,1945-08-12T00:00:00Z,male,Catholic Church,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,military leader
Oskar Schindler,natural causes,Nazi Germany,1908-04-28T00:00:00Z,1974-10-09T00:00:00Z,male,Lapsed Catholic,resistance fighter
Alexander the Great,natural causes,Macedonia,-0355-07-15T00:00:00Z,-0322-06-05T00:00:00Z,male,religion in ancient Greece,military leader
Erwin Rommel,suicide,Nazi Germany,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Protestantism,resistance fighter
Karađorđe,homicide,Ottoman Empire,1770-01-01T00:00:00Z,1817-07-26T00:00:00Z,male,Serbian Orthodox Church,military leader
Aditya Dibabha Abhakara,natural causes,Thailand,1900-07-24T00:00:00Z,1946-05-19T00:00:00Z,male,Theravada,military leader
Roman Shukhevych,suicide,Soviet Union,1907-06-30T00:00:00Z,1950-03-05T00:00:00Z,male,Christian,resistance fighter
Abu Muslim al Khorasani,homicide,Abbasid Caliphate,0718-01-01T00:00:00Z,0755-02-01T00:00:00Z,male,Islam,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,resistance fighter
Rupert Mayer,natural causes,Germany,1876-01-23T00:00:00Z,1945-11-01T00:00:00Z,male,Catholic Church,resistance fighter
Friedrich Paulus,natural causes,German Democratic Republic,1890-09-21T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Karađorđe,homicide,Ottoman Empire,1770-01-01T00:00:00Z,1817-07-26T00:00:00Z,male,Serbian Orthodox Church,resistance fighter
Ulysses S. Grant,natural causes,United States of America,1822-04-27T00:00:00Z,1885-07-23T00:00:00Z,male,Presbyterianism,military leader
Oskar Schindler,natural causes,West Germany,1908-04-28T00:00:00Z,1974-10-09T00:00:00Z,male,Lapsed Catholic,resistance fighter
Jean-Paul Sartre,natural causes,France,1905-06-21T00:00:00Z,1980-04-15T00:00:00Z,male,atheism,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Samaniyya,military leader
Casper ten Boom,natural causes,Kingdom of the Netherlands,1859-05-18T00:00:00Z,1944-03-09T00:00:00Z,male,Dutch Reformed Church,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Samaniyya,resistance fighter
Taj al-Muluk Buri,homicide,Seljuk Empire,1001-01-01T00:00:00Z,1132-06-17T00:00:00Z,male,Sunni Islam,military leader
Ahmed Jarrar,homicide,State of Palestine,1994-06-05T00:00:00Z,2018-02-06T00:00:00Z,male,Islam,resistance fighter
Harry Koopmans,homicide,Kingdom of the Netherlands,1906-01-27T00:00:00Z,1944-08-09T00:00:00Z,male,Catholic Church,resistance fighter
Meindert Veldman,natural causes,Kingdom of the Netherlands,1904-12-12T00:00:00Z,1945-02-22T00:00:00Z,male,Reformed Churches in the Netherlands,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,military leader
Erwin Rommel,suicide,German Empire,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Protestantism,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sufism,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,resistance fighter
John III Sobieski,natural causes,Polish–Lithuanian Commonwealth,1629-08-17T00:00:00Z,1696-06-17T00:00:00Z,male,Catholicism,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sufism,resistance fighter
Gustavus Adolphus of Sweden,homicide,Sweden,1594-12-19T00:00:00Z,1632-11-06T00:00:00Z,male,Lutheranism,military leader
Alexander the Great,natural causes,Macedonia,-0355-07-15T00:00:00Z,-0322-06-05T00:00:00Z,male,Greek mythology,military leader
Kurt von Schleicher,homicide,Germany,1882-04-07T00:00:00Z,1934-06-30T00:00:00Z,male,Lutheranism,resistance fighter
Todor Zhivkov,natural causes,Bulgaria,1911-09-07T00:00:00Z,1998-08-05T00:00:00Z,male,atheism,resistance fighter
Carl Lampert,homicide,Austria,1894-01-09T00:00:00Z,1944-11-13T00:00:00Z,male,Catholic Church,resistance fighter
Richard Henkes,natural causes,Germany,1900-05-26T00:00:00Z,1945-02-22T00:00:00Z,male,Catholic Church,resistance fighter
Johan Huizinga,natural causes,Kingdom of the Netherlands,1872-12-07T00:00:00Z,1945-01-01T00:00:00Z,male,Mennonite Church in the Netherlands,resistance fighter
Godfried Bomans,natural causes,Kingdom of the Netherlands,1913-03-02T00:00:00Z,1971-12-22T00:00:00Z,male,Catholic Church,resistance fighter
Johan Huizinga,natural causes,Kingdom of the Netherlands,1872-12-07T00:00:00Z,1945-01-31T00:00:00Z,male,Mennonite Church in the Netherlands,resistance fighter
Friedrich Paulus,natural causes,Nazi Germany,1890-09-23T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,military leader
Erwin Rommel,suicide,Weimar Republic,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Protestantism,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,resistance fighter
Erich Honecker,natural causes,German Empire,1912-08-25T00:00:00Z,1994-05-29T00:00:00Z,male,atheism,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,military leader
Johan Huizinga,natural causes,Kingdom of the Netherlands,1872-01-01T00:00:00Z,1945-01-01T00:00:00Z,male,Mennonite Church in the Netherlands,resistance fighter
Abu Muslim al Khorasani,homicide,Umayyad Caliphate,0718-01-01T00:00:00Z,0755-02-01T00:00:00Z,male,Islam,military leader
Johan Huizinga,natural causes,Kingdom of the Netherlands,1872-01-01T00:00:00Z,1945-01-31T00:00:00Z,male,Mennonite Church in the Netherlands,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,resistance fighter
Erwin Rommel,suicide,Nazi Germany,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Lutheranism,resistance fighter
Henning von Tresckow,suicide,German Reich,1901-01-10T00:00:00Z,1944-07-21T00:00:00Z,male,Lutheranism,resistance fighter
Friedrich Paulus,natural causes,Nazi Germany,1890-09-21T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Klaas Schilder,natural causes,Kingdom of the Netherlands,1890-12-19T00:00:00Z,1952-03-23T00:00:00Z,male,Protestantism,resistance fighter
Todor Zhivkov,natural causes,People's Republic of Bulgaria,1911-09-07T00:00:00Z,1998-08-05T00:00:00Z,male,atheism,resistance fighter
Riaz Basra,homicide,Pakistan,1967-01-01T00:00:00Z,2002-05-14T00:00:00Z,male,Sunni Islam,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Samaniyya,military leader
Friedrich Paulus,natural causes,German Empire,1890-09-23T00:00:00Z,1957-02-01T00:00:00Z,male,Catholic Church,resistance fighter
Ahmad Shah Massoud,homicide,Afghanistan,1953-09-02T00:00:00Z,2001-09-09T00:00:00Z,male,Islam,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Samaniyya,resistance fighter
Ulysses S. Grant,natural causes,United States of America,1822-04-27T00:00:00Z,1885-07-23T00:00:00Z,male,Methodism,military leader
Erich Honecker,natural causes,Weimar Republic,1912-08-25T00:00:00Z,1994-05-29T00:00:00Z,male,atheism,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,military leader
Alois Andritzki,homicide,German Reich,1914-07-02T00:00:00Z,1943-02-03T00:00:00Z,male,Catholic Church,resistance fighter
Maximilian Kolbe,homicide,Poland,1894-01-08T00:00:00Z,1941-08-14T00:00:00Z,male,Catholic Church,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Islam,resistance fighter
Irena Sendler,natural causes,Poland,1910-02-15T00:00:00Z,2008-05-12T00:00:00Z,female,Christianity,resistance fighter
Muhammad Ahmad ibn ʿAbdallah,natural causes,Khedivate of Egypt,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,military leader
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sufism,military leader
Erich Honecker,natural causes,German Democratic Republic,1912-08-25T00:00:00Z,1994-05-29T00:00:00Z,male,atheism,resistance fighter
Erwin Rommel,suicide,German Empire,1891-11-15T00:00:00Z,1944-10-14T00:00:00Z,male,Lutheranism,resistance fighter
Karađorđe,homicide,Ottoman Empire,1768-11-14T00:00:00Z,1817-07-26T00:00:00Z,male,Serbian Orthodox Church,military leader
Inge Scholl,natural causes,Germany,1917-08-11T00:00:00Z,1998-09-04T00:00:00Z,female,Lutheranism,resistance fighter
